STAT;LAT;LONG;h;WEEK
FORT;-3.87744497611273;-38.4256126903273;19.4562303954735;1369
FQNE;5.46734510878554;-73.7348084827881;2602.04279987328;2197
GALA;-0.742695171091352;-90.3036193614734;7.43043591361493;1191
GARA;5.0813347062721;-73.3600376313685;1750.93093562406;2250
GCGT;19.2929486282811;-81.379447441308;8.4251818722114;1663
GLPS;-0.742997707564604;-90.3036639326704;1.77582504134625;2250
GLSV;50.3641847101869;30.4967376484384;226.315118049271;2190
GODE;39.0217282325783;-76.8268332319788;14.4781239256263;2250
GOGY;-16.6647257727191;-49.2546738323385;734.196034997702;2250
GOJA;-17.8832762892442;-51.7261097074119;755.306842765771;2250
GOL2;35.425155375367;-116.889252893454;986.635900631547;2250
GOLD;35.4251553795085;-116.889252914537;986.638946519233;2250
GOUG;-40.3488309076265;-9.88071345919786;81.2692495463416;1915
GOUR;-14.5092230173582;-49.1435850908764;516.859578398988;2250
GQEC;-2.16738489418326;-79.8786768805827;27.283439623192;2250
GRAS;43.7547402685498;6.92057753441672;1319.30183548946;2190
GRAZ;47.0671323710369;15.4934851393531;538.285593241453;2190
GRE0;12.2217844635797;-61.6404532039858;16.6591204619035;1889
GRE1;12.2217556025652;-61.6404468714207;16.2834366979077;2139
GTK0;21.4327888354879;-71.1445923622517;-31.091950148344;1815
GUAM;13.5893300297312;144.868359995233;201.928951757029;2172
GUAT;14.5904044354357;-90.5201823218889;1519.84433814045;2193
GUAX;28.884062408087;-118.289691015554;40.4621439818293;2250
GUAY;-31.8691287565475;-59.0262235146494;70.6439407616854;2250
GUEC;-2.27166312737411;-79.9039849110676;32.4045902034268;2121
GVA1;-18.8556044406176;-41.957620118908;178.583754480816;2250
GVAL;-18.8556053074278;-41.9576196808558;178.641241323203;1787
GYEC;-2.14935631820735;-79.8918648304124;35.1701912647113;1811
GZEC;-3.40119357602874;-78.5810673349911;883.928676822223;2250
HARB;-25.8869601208784;27.7072475707147;1558.08704192098;2190
HC03;-9.93264973723736;-76.2354661313848;1927.88677445054;2250
HER2;29.0925461667897;-110.967216419138;186.948791468516;2003
HERS;50.867316367454;0.336275524030626;76.4688200131059;2190
HLFX;44.6835509079811;-63.6112831366099;3.06953624635935;2250
HNLC;21.303293513439;-157.864555774661;21.9630849026144;2190
HOB2;-42.8047042412796;147.438737387701;41.0360855609179;2190
HOLM;70.73630273154;-117.761241463611;0.4681431427598;1978
HRAO;-25.8901020987066;27.6869835592555;1414.15685067978;2190
HUEH;15.318142370776;-91.5026926729921;1878.16943926737;1860
HV01;-12.7865070890213;-74.9677359946416;3720.70345503278;2250
IACR;-18.4797474457761;-70.3328516910508;46.04271984566;2250
IBAG;4.42804662147231;-75.214723430607;1216.0787923187;2249
IBEC;0.350158135958009;-78.115686737857;2246.19706053566;2250
IC01;-14.0752711091506;-75.734909295136;441.948834664188;2250
ICAM;19.8534574219842;-90.5274738523913;2.57095746416599;2250
ICEC;-0.907337901434594;-89.6039506832625;51.5636763023213;2250
