2012-12-09 02:00:00,102037.8217329437,284.7387445226971,34.19696388227526,2.13058,0.00085,1.0
2012-12-09 04:00:00,102065.8674713503,283.299079305349,37.76497615428258,2.15487,0.00095,1.0
2012-12-09 06:00:00,101907.431074802,282.4069431448071,34.50467138277788,2.13156,0.00049,1.0
2012-12-09 08:00:00,101811.25328078982,282.45857417428664,35.52159999157458,2.13626,0.00043,1.0
2012-12-09 10:00:00,101934.00844994125,283.1970179680057,32.591039182475996,2.11929,0.00043,1.0
2012-12-09 12:00:00,102037.08755131002,282.92685560444994,34.198820320452185,2.1317,0.00041,1.0
2012-12-09 14:00:00,102142.51603390658,285.00770616463706,35.00472854883883,2.13753,0.00042,1.0
2012-12-09 16:00:00,102122.10578449025,284.2176313414385,33.585320029723114,2.12857,0.00042,1.0
2012-12-09 18:00:00,101947.81106465444,286.46898437106967,32.111173291742716,2.11458,0.00046,1.0
2012-12-09 20:00:00,101689.37912959882,288.267665351543,35.29502326531524,2.12884,0.00056,1.0
2012-12-09 22:00:00,101662.80175445958,284.1852118578118,32.803107598194465,2.11498,0.00048,1.0
2012-12-10 00:00:00,101834.45342041414,283.83940403246044,29.965759895160602,2.10024,0.00062,1.0
2012-12-10 02:00:00,101929.60336013915,283.4863918774143,29.34072650287241,2.09821,0.00193,1.0
2012-12-10 04:00:00,101944.58066546624,281.3142864744261,29.962068502995304,2.10366,0.00078,1.0
2012-12-10 06:00:00,101831.51669387941,282.05393098976094,31.713066586255042,2.1124,0.00048,1.0
2012-12-10 08:00:00,101728.58442883738,281.40794276045875,31.272993539395742,2.10801,0.00044,1.0
2012-12-10 10:00:00,101737.2477721148,282.3288962397799,31.107332346459806,2.10658,0.00045,1.0
2012-12-10 12:00:00,101888.92969763324,282.8740238533546,33.50141685434481,2.12448,0.00044,1.0
2012-12-10 14:00:00,101983.05178307112,284.48659298337844,34.60091595416457,2.13229,0.00047,1.0
2012-12-10 16:00:00,101922.11470747562,284.56944277486883,33.70447916706442,2.12537,0.00044,1.0
2012-12-10 18:00:00,101728.58442883738,286.86882466913215,35.6810936234256,2.1329,0.00042,1.0
2012-12-10 20:00:00,101379.40764385881,287.6504944410201,36.02516175232071,2.12804,0.00046,1.0
2012-12-10 22:00:00,101416.99774350326,285.6068662509229,34.19506864645544,2.1184,0.00049,1.0
2012-12-11 00:00:00,101515.81859139669,284.76155823339735,34.06800047571255,2.11996,0.00067,1.0
2012-12-11 02:00:00,101700.39185410403,284.556234837095,32.8133171743916,2.11553,0.00064,1.0
2012-12-11 04:00:00,101818.00775181969,283.74094485996454,32.93706440926388,2.11901,0.00064,1.0
2012-12-11 06:00:00,101735.33889986723,282.79717766994315,31.481391802090826,2.10868,0.00057,1.0
2012-12-11 08:00:00,101538.43138571407,282.13918222448297,30.85516717591942,2.10134,0.00059,1.0
2012-12-11 10:00:00,101543.8643298033,281.3563117309792,31.493598866431764,2.106,0.0006,1.0
2012-12-11 12:00:00,101610.0875131613,281.84500542861116,31.279414173215024,2.10558,0.00055,1.0
2012-12-11 14:00:00,101700.09818145056,289.08415605028927,31.302422984359414,2.10335,0.00059,1.0
2012-12-11 16:00:00,101609.94067683457,289.12137842037913,30.248024768450737,2.09499,0.0006,1.0
2012-12-11 18:00:00,101367.07339241297,291.692123399814,33.067817027773515,2.10674,0.0006,1.0
2012-12-11 20:00:00,101201.4420158546,291.00771207880615,34.276223125717394,2.11161,0.0007,1.0
2012-12-11 22:00:00,101149.75562884347,287.2770700185053,33.590433600612855,2.10854,0.00073,1.0
2012-12-12 00:00:00,101338.14663604596,286.5374255031704,31.412968312677183,2.09868,0.00097,1.0
2012-12-12 02:00:00,101661.62706384569,285.69812109372396,29.683374514811383,2.0942,0.00052,1.0
2012-12-12 04:00:00,101786.73161422489,283.8153896001444,30.342438221272353,2.10177,0.00053,1.0
2012-12-12 06:00:00,101705.23745288633,283.616069811921,30.313971426002706,2.10017,0.0005,1.0
2012-12-12 08:00:00,101629.76358094395,282.93526065576054,28.384790639945646,2.08675,0.00051,1.0
2012-12-12 10:00:00,101641.21681442937,282.00950428997623,29.043108192001295,2.09168,0.00048,1.0
2012-12-12 12:00:00,101715.95650473806,282.0119057332078,31.48791007533225,2.10881,0.00048,1.0
2012-12-12 14:00:00,101785.85059626447,287.1834137324726,34.25647201460933,2.12474,0.00052,1.0
2012-12-12 16:00:00,101704.65010757938,287.3959414584698,33.61281912897379,2.11901,0.00048,1.0
2012-12-12 18:00:00,101504.80586689149,289.46118263765146,34.50626003878736,2.11967,0.00048,1.0
2012-12-12 20:00:00,101323.60983969907,289.34471264091854,36.15869974318065,2.12676,0.00055,1.0
2012-12-12 22:00:00,101313.47813315428,285.99469933282734,36.27253927141525,2.12944,0.00059,1.0
2012-12-13 00:00:00,101431.82821250362,285.9058459332579,36.70693179294419,2.13448,0.00082,1.0
2012-12-13 02:00:00,101714.63497779744,285.61767274546514,38.04004925014695,2.14846,0.00046,1.0
2012-12-13 04:00:00,101811.69378977003,284.6979199877598,38.77333100135808,2.15559,0.00043,1.0
2012-12-13 06:00:00,101701.12603573772,283.3507103348285,38.52330808341635,2.15286,0.0004,1.0
2012-12-13 08:00:00,101577.93035760609,283.6520914603951,36.59329768855948,2.13798,0.0004,1.0
2012-12-13 10:00:00,101592.02664497275,283.4767861044878,36.263924705450314,2.13625,0.00039,1.0
2012-12-13 12:00:00,101750.75671417454,284.2032226820488,34.61597946177897,2.12821,0.00039,1.0
2012-12-13 14:00:00,101878.50431843498,286.1195743808709,35.186398183816266,2.13304,0.00042,1.0
